Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,Month,Quarter,Profit_Margin_%
West Gear,1185732,2021-03-02,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,10.0,225.0,2250.0,675.0,In-store,2021,3,1,30.0
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Men's Street Footwear,47.0,100.0,470.0,207.0,Online,2021,10,4,44.04255319148936
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Women's Athletic Footwear,40.0,78.0,312.0,125.0,Outlet,2021,4,2,40.06410256410257
Kohl's,1185732,2021-07-10,West,Wyoming,Cheyenne,Women's Athletic Footwear,39.0,150.0,585.0,275.0,Online,2021,7,3,47.008547008547005
Sports Direct,1197831,2021-09-10,South,Texas,Dallas,Men's Street Footwear,45.0,800.0,36000.0,12600.0,Outlet,2021,9,3,35.0
Foot Locker,1128299,2021-01-10,West,Alaska,Anchorage,Men's Street Footwear,33.0,109.0,360.0,137.0,Online,2021,1,1,38.05555555555556
West Gear,1185732,2021-07-16,Northeast,West Virginia,Charleston,Women's Athletic Footwear,50.0,275.0,13750.0,5500.0,In-store,2021,7,3,40.0
Foot Locker,1185732,2021-10-07,Southeast,South Carolina,Charleston,Men's Athletic Footwear,45.0,800.0,36000.0,12600.0,Online,2021,10,4,35.0
Foot Locker,1185732,2021-12-28,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,47.0,85.0,400.0,164.0,Outlet,2021,12,4,41.0
Sports Direct,1185732,2021-10-05,Northeast,Connecticut,Hartford,Men's Street Footwear,59.0,113.0,667.0,367.0,Online,2021,10,4,55.02248875562219
Foot Locker,1128299,2021-07-22,West,Arizona,Phoenix,Men's Apparel,52.0,128.0,666.0,286.0,Online,2021,7,3,42.94294294294294
Amazon,1185732,2021-11-02,Northeast,Maine,Portland,Women's Athletic Footwear,33.0,21.0,69.0,28.0,Online,2021,11,4,40.57971014492754
Sports Direct,1197831,2021-04-24,South,Tennessee,Knoxville,Women's Athletic Footwear,42.0,133.0,559.0,385.0,Online,2021,4,2,68.87298747763863
Amazon,1185732,2021-10-15,Northeast,Massachusetts,Boston,Women's Apparel,51.0,68.0,347.0,121.0,Outlet,2021,10,4,34.87031700288185
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Apparel,53.0,176.0,933.0,448.0,Online,2021,8,3,48.01714898177921
Foot Locker,1185732,2021-06-12,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,35.0,175.0,6125.0,1838.0,Online,2021,6,2,30.00816326530612
Foot Locker,1128299,2021-02-10,West,Hawaii,Honolulu,Women's Apparel,44.0,102.0,449.0,247.0,Online,2021,2,1,55.01113585746103
Foot Locker,1185732,2021-05-13,Northeast,Delaware,Wilmington,Women's Apparel,60.0,400.0,24000.0,9600.0,In-store,2021,5,2,40.0
Sports Direct,1185732,2021-09-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,44.0,63.0,277.0,125.0,Online,2021,9,3,45.12635379061371
West Gear,1197831,2021-07-19,South,Oklahoma,Oklahoma City,Women's Street Footwear,45.0,375.0,16875.0,6750.0,Online,2021,7,3,40.0
Amazon,1185732,2021-10-12,South,Alabama,Birmingham,Men's Street Footwear,40.0,450.0,18000.0,6300.0,Outlet,2021,10,4,35.0
West Gear,1128299,2021-05-25,West,Oregon,Portland,Women's Street Footwear,50.0,95.0,475.0,238.0,Online,2021,5,2,50.10526315789474
Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Apparel,46.0,98.0,451.0,216.0,Online,2021,2,1,47.893569844789354
Foot Locker,1128299,2021-09-25,Southeast,Virginia,Richmond,Men's Apparel,39.0,74.0,289.0,136.0,Outlet,2021,9,3,47.05882352941176
Kohl's,1185732,2021-04-11,West,Wyoming,Cheyenne,Women's Apparel,36.0,149.0,536.0,188.0,Online,2021,4,2,35.07462686567165
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,59.0,245.0,1446.0,491.0,Online,2021,1,1,33.95573997233748
West Gear,1185732,2021-08-17,Northeast,West Virginia,Charleston,Men's Athletic Footwear,42.0,90.0,378.0,208.0,Online,2021,8,3,55.026455026455025
Foot Locker,1185732,2021-12-08,Northeast,Pennsylvania,Philadelphia,Women's Apparel,70.0,350.0,24500.0,7350.0,Outlet,2021,12,4,30.0
West Gear,1185732,2021-12-10,West,Utah,Salt Lake City,Women's Athletic Footwear,30.0,400.0,12000.0,4800.0,In-store,2021,12,4,40.0
Sports Direct,1197831,2021-09-16,South,Alabama,Birmingham,Men's Apparel,50.0,123.0,615.0,363.0,Online,2021,9,3,59.02439024390244
Sports Direct,1197831,2021-03-21,South,Tennessee,Knoxville,Women's Apparel,28.0,143.0,400.0,224.0,Outlet,2021,3,1,56.00000000000001
Walmart,1197831,2021-05-19,South,Arkansas,Little Rock,Men's Street Footwear,40.0,670.0,26800.0,10720.0,Online,2021,5,2,40.0
Amazon,1185732,2021-10-22,West,Alaska,Anchorage,Women's Street Footwear,65.0,175.0,11375.0,2844.0,Outlet,2021,10,4,25.002197802197802
Sports Direct,1197831,2021-04-16,South,Tennessee,Knoxville,Men's Athletic Footwear,30.0,264.0,792.0,396.0,Outlet,2021,4,2,50.0
Sports Direct,1185732,2021-01-09,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,25.0,74.0,185.0,74.0,Online,2021,1,1,40.0
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Men's Apparel,95.0,650.0,61750.0,27788.0,Online,2021,7,3,45.000809716599186
Foot Locker,1128299,2021-02-10,West,Hawaii,Honolulu,Women's Athletic Footwear,41.0,56.0,230.0,90.0,Online,2021,2,1,39.130434782608695
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,15.0,575.0,8625.0,3881.0,Outlet,2021,8,3,44.99710144927536
West Gear,1128299,2021-06-17,South,Louisiana,New Orleans,Women's Athletic Footwear,59.0,184.0,1086.0,510.0,Outlet,2021,6,2,46.96132596685083
Foot Locker,1128299,2021-08-10,West,Hawaii,Honolulu,Women's Athletic Footwear,67.0,142.0,951.0,362.0,Online,2021,8,3,38.06519453207151
West Gear,1128299,2021-05-18,South,Louisiana,New Orleans,Women's Apparel,46.0,178.0,819.0,328.0,Outlet,2021,5,2,40.04884004884005
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Women's Apparel,50.0,225.0,11250.0,4500.0,Online,2021,9,3,40.0
Walmart,1128299,2021-05-18,Southeast,Florida,Orlando,Men's Apparel,52.0,68.0,354.0,113.0,Online,2021,5,2,31.92090395480226
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Men's Street Footwear,28.0,163.0,456.0,246.0,Online,2021,11,4,53.94736842105263
Sports Direct,1197831,2021-05-13,South,Tennessee,Knoxville,Men's Apparel,51.0,113.0,576.0,305.0,Online,2021,5,2,52.951388888888886
Foot Locker,1185732,2021-07-11,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,50.0,550.0,27500.0,9625.0,Online,2021,7,3,35.0
Sports Direct,1197831,2021-08-25,South,Texas,Dallas,Women's Street Footwear,28.0,145.0,406.0,191.0,Online,2021,8,3,47.04433497536946
Kohl's,1189833,2021-04-07,West,California,Los Angeles,Men's Street Footwear,43.0,240.0,1032.0,516.0,Online,2021,4,2,50.0
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Women's Street Footwear,14.0,60.0,84.0,42.0,Online,2021,4,2,50.0
West Gear,1197831,2021-04-05,West,Idaho,Boise,Men's Street Footwear,20.0,650.0,13000.0,4550.0,Online,2021,4,2,35.0
Kohl's,1189833,2021-04-16,West,California,Los Angeles,Women's Athletic Footwear,45.0,550.0,24750.0,8663.0,Outlet,2021,4,2,35.0020202020202
Sports Direct,1185732,2021-04-04,Northeast,Connecticut,Hartford,Women's Street Footwear,29.0,56.0,162.0,70.0,Online,2021,4,2,43.20987654320987
Amazon,1185732,2021-10-11,Midwest,Ohio,Columbus,Women's Apparel,40.0,525.0,21000.0,10500.0,Online,2021,10,4,50.0
Sports Direct,1197831,2021-09-09,South,Alabama,Birmingham,Women's Athletic Footwear,36.0,196.0,706.0,473.0,Outlet,2021,9,3,66.9971671388102
Foot Locker,1185732,2021-01-17,Northeast,Maryland,Baltimore,Men's Athletic Footwear,38.0,81.0,308.0,154.0,Online,2021,1,1,50.0
West Gear,1128299,2021-07-23,West,Oregon,Portland,Men's Apparel,90.0,600.0,54000.0,21600.0,In-store,2021,7,3,40.0
Foot Locker,1185732,2021-04-18,Midwest,Missouri,St. Louis,Men's Apparel,40.0,225.0,9000.0,3150.0,In-store,2021,4,2,35.0
Amazon,1185732,2021-08-22,Southeast,Kentucky,Louisville,Men's Street Footwear,46.0,167.0,768.0,415.0,Online,2021,8,3,54.036458333333336
West Gear,1185732,2021-01-12,Southeast,Florida,Orlando,Women's Apparel,35.0,221.0,774.0,425.0,Outlet,2021,1,1,54.90956072351422
Foot Locker,1197831,2021-02-04,West,Idaho,Boise,Women's Athletic Footwear,35.0,375.0,13125.0,5250.0,Online,2021,2,1,40.0
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Men's Apparel,38.0,42.0,160.0,101.0,Online,2021,1,1,63.125
Sports Direct,1185732,2021-02-09,Midwest,North Dakota,Fargo,Women's Apparel,23.0,69.0,159.0,81.0,Online,2021,2,1,50.943396226415096
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Women's Street Footwear,43.0,101.0,434.0,174.0,Online,2021,1,1,40.09216589861751
Foot Locker,1185732,2021-10-30,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,25.0,54.0,135.0,61.0,Outlet,2021,10,4,45.18518518518518
Sports Direct,1197831,2021-08-26,South,Alabama,Birmingham,Men's Athletic Footwear,20.0,725.0,14500.0,6525.0,Outlet,2021,8,3,45.0
Foot Locker,1185732,2021-06-26,Midwest,Nebraska,Omaha,Men's Street Footwear,45.0,550.0,24750.0,9900.0,Outlet,2021,6,2,40.0
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Men's Apparel,43.0,47.0,202.0,69.0,Outlet,2021,4,2,34.15841584158416
West Gear,1185732,2021-12-09,Midwest,Ohio,Columbus,Men's Apparel,75.0,525.0,39375.0,13781.0,Online,2021,12,4,34.99936507936508
Foot Locker,1185732,2021-11-16,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60.0,175.0,10500.0,3150.0,Outlet,2021,11,4,30.0
Sports Direct,1185732,2021-07-08,Midwest,North Dakota,Fargo,Men's Apparel,49.0,60.0,294.0,135.0,Online,2021,7,3,45.91836734693878
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Apparel,65.0,123.0,800.0,400.0,Online,2021,12,4,50.0
Sports Direct,1185732,2021-11-07,Northeast,New Jersey,Newark,Men's Athletic Footwear,46.0,80.0,368.0,180.0,Online,2021,11,4,48.91304347826087
West Gear,1197831,2021-05-05,West,Idaho,Boise,Men's Athletic Footwear,30.0,725.0,21750.0,7613.0,Online,2021,5,2,35.00229885057472
Kohl's,1189833,2021-03-12,West,California,Los Angeles,Women's Apparel,29.0,210.0,609.0,140.0,Outlet,2021,3,1,22.988505747126435
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Women's Street Footwear,29.0,217.0,629.0,233.0,Online,2021,2,1,37.0429252782194
Foot Locker,1128299,2021-10-24,Southeast,Virginia,Richmond,Men's Street Footwear,38.0,102.0,388.0,174.0,Online,2021,10,4,44.84536082474227
Foot Locker,1185732,2021-09-07,Midwest,Iowa,Des Moines,Men's Street Footwear,35.0,475.0,16625.0,4988.0,In-store,2021,9,3,30.00300751879699
Amazon,1185732,2021-01-22,Midwest,Ohio,Columbus,Women's Street Footwear,28.0,75.0,210.0,109.0,Online,2021,1,1,51.90476190476191
Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Women's Street Footwear,25.0,175.0,4375.0,1750.0,In-store,2021,3,1,40.0
Foot Locker,1128299,2021-06-24,Southeast,Virginia,Richmond,Men's Street Footwear,37.0,233.0,862.0,319.0,Outlet,2021,6,2,37.00696055684455
Sports Direct,1185732,2021-05-13,Northeast,Massachusetts,Boston,Men's Athletic Footwear,50.0,200.0,10000.0,3000.0,In-store,2021,5,2,30.0
Foot Locker,1128299,2021-10-24,Southeast,Virginia,Richmond,Men's Apparel,55.0,300.0,16500.0,6600.0,In-store,2021,10,4,40.0
Foot Locker,1128299,2021-07-23,Southeast,Virginia,Richmond,Men's Street Footwear,60.0,272.0,1632.0,604.0,Outlet,2021,7,3,37.00980392156863
West Gear,1185732,2021-11-10,Midwest,Indiana,Indianapolis,Women's Street Footwear,32.0,81.0,259.0,124.0,Online,2021,11,4,47.87644787644788
West Gear,1185732,2021-05-12,West,Utah,Salt Lake City,Men's Athletic Footwear,29.0,101.0,293.0,144.0,Online,2021,5,2,49.14675767918089
Foot Locker,1128299,2021-10-24,Southeast,Virginia,Richmond,Men's Athletic Footwear,51.0,142.0,724.0,355.0,Online,2021,10,4,49.033149171270715
Foot Locker,1185732,2021-02-18,Midwest,Missouri,St. Louis,Women's Apparel,28.0,120.0,336.0,212.0,Online,2021,2,1,63.095238095238095
Foot Locker,1185732,2021-01-10,Northeast,Connecticut,Hartford,Men's Apparel,34.0,44.0,150.0,54.0,Outlet,2021,1,1,36.0
Walmart,1128299,2021-04-17,Southeast,Florida,Orlando,Women's Athletic Footwear,41.0,90.0,369.0,129.0,Outlet,2021,4,2,34.959349593495936
West Gear,1185732,2021-03-09,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,19.0,31.0,59.0,27.0,Online,2021,3,1,45.76271186440678
Foot Locker,1185732,2021-06-22,Northeast,Maryland,Baltimore,Women's Apparel,53.0,84.0,445.0,200.0,Online,2021,6,2,44.9438202247191
Amazon,1185732,2021-11-11,Northeast,Vermont,Burlington,Men's Apparel,70.0,275.0,19250.0,6738.0,In-store,2021,11,4,35.0025974025974
Foot Locker,1185732,2021-10-19,Northeast,New Hampshire,Manchester,Men's Street Footwear,64.0,119.0,762.0,404.0,Online,2021,10,4,53.018372703412076
Walmart,1197831,2021-04-20,South,Arkansas,Little Rock,Women's Street Footwear,14.0,75.0,105.0,55.0,Online,2021,4,2,52.38095238095239
Kohl's,1185732,2021-10-12,West,Wyoming,Cheyenne,Men's Street Footwear,50.0,202.0,1010.0,646.0,Online,2021,10,4,63.960396039603964
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Men's Street Footwear,41.0,246.0,1009.0,555.0,Online,2021,5,2,55.00495540138751
Sports Direct,1197831,2021-09-16,South,Texas,Dallas,Men's Street Footwear,34.0,256.0,870.0,366.0,Outlet,2021,9,3,42.06896551724138
Foot Locker,1185732,2021-11-09,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,50.0,450.0,22500.0,11250.0,Outlet,2021,11,4,50.0
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Men's Street Footwear,20.0,645.0,12900.0,5160.0,Online,2021,3,1,40.0
Sports Direct,1197831,2021-09-19,South,Alabama,Birmingham,Men's Athletic Footwear,55.0,575.0,31625.0,15813.0,Outlet,2021,9,3,50.00158102766798
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Women's Street Footwear,24.0,33.0,79.0,39.0,Online,2021,4,2,49.36708860759494
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,65.0,825.0,53625.0,18769.0,Outlet,2021,1,1,35.0004662004662
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,46.0,225.0,1035.0,455.0,Outlet,2021,1,1,43.96135265700483
West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,55.0,925.0,50875.0,15263.0,Outlet,2021,1,1,30.0009828009828
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Athletic Footwear,14.0,94.0,132.0,66.0,Online,2021,11,4,50.0
West Gear,1128299,2021-06-17,South,Louisiana,New Orleans,Women's Street Footwear,55.0,210.0,1155.0,508.0,Outlet,2021,6,2,43.98268398268399
Sports Direct,1197831,2021-03-11,Midwest,Montana,Billings,Men's Athletic Footwear,29.0,182.0,528.0,243.0,Online,2021,3,1,46.02272727272727
Foot Locker,1185732,2021-03-13,Northeast,Delaware,Wilmington,Men's Street Footwear,36.0,158.0,569.0,262.0,Online,2021,3,1,46.04569420035149
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Women's Street Footwear,30.0,775.0,23250.0,5813.0,Online,2021,2,1,25.00215053763441
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Women's Athletic Footwear,15.0,100.0,1500.0,450.0,In-store,2021,3,1,30.0
Amazon,1185732,2021-12-26,Northeast,Maine,Portland,Women's Apparel,54.0,91.0,491.0,265.0,Online,2021,12,4,53.97148676171079
Foot Locker,1185732,2021-03-11,Midwest,South Dakota,Sioux Falls,Women's Apparel,40.0,225.0,9000.0,3600.0,Online,2021,3,1,40.0
Amazon,1185732,2021-06-22,West,Alaska,Anchorage,Women's Street Footwear,55.0,325.0,17875.0,4469.0,Outlet,2021,6,2,25.0013986013986
Sports Direct,1128299,2021-10-13,Southeast,Georgia,Atlanta,Women's Apparel,46.0,109.0,501.0,155.0,Outlet,2021,10,4,30.938123752495013
Amazon,1185732,2021-08-11,Northeast,Vermont,Burlington,Men's Apparel,60.0,225.0,13500.0,4725.0,In-store,2021,8,3,35.0
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,58.0,200.0,1160.0,522.0,Online,2021,8,3,45.0
Amazon,1185732,2021-09-20,West,Alaska,Anchorage,Women's Street Footwear,50.0,59.0,295.0,112.0,Online,2021,9,3,37.96610169491525
Amazon,1185732,2021-04-18,Northeast,New Hampshire,Manchester,Men's Apparel,40.0,61.0,244.0,81.0,Outlet,2021,4,2,33.19672131147541
Foot Locker,1185732,2021-08-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,36.0,65.0,234.0,94.0,Online,2021,8,3,40.17094017094017
Sports Direct,1197831,2021-09-30,South,Alabama,Birmingham,Men's Street Footwear,18.0,169.0,304.0,195.0,Online,2021,9,3,64.14473684210526
West Gear,1128299,2021-02-17,South,Louisiana,New Orleans,Women's Apparel,44.0,105.0,462.0,222.0,Online,2021,2,1,48.05194805194805
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Women's Street Footwear,40.0,300.0,12000.0,3600.0,In-store,2021,3,1,30.0
Kohl's,1185732,2021-03-10,West,Wyoming,Cheyenne,Men's Apparel,50.0,450.0,22500.0,6750.0,In-store,2021,3,1,30.0
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Athletic Footwear,55.0,225.0,12375.0,4331.0,Outlet,2021,2,1,34.9979797979798
Foot Locker,1185732,2021-12-16,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,47.0,63.0,296.0,124.0,Online,2021,12,4,41.891891891891895
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Men's Athletic Footwear,50.0,188.0,940.0,489.0,Online,2021,9,3,52.02127659574468
West Gear,1197831,2021-06-21,South,Oklahoma,Oklahoma City,Men's Apparel,51.0,87.0,444.0,209.0,Online,2021,6,2,47.072072072072075
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Women's Street Footwear,44.0,61.0,268.0,107.0,Online,2021,4,2,39.92537313432835
Foot Locker,1185732,2021-05-21,South,Tennessee,Knoxville,Men's Street Footwear,35.0,425.0,14875.0,5950.0,Outlet,2021,5,2,40.0
Foot Locker,1185732,2021-03-13,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,125.0,4375.0,1750.0,In-store,2021,3,1,40.0
Kohl's,1189833,2021-01-04,Midwest,Montana,Billings,Men's Athletic Footwear,45.0,425.0,19125.0,5738.0,Outlet,2021,1,1,30.002614379084967
West Gear,1128299,2021-04-24,West,Oregon,Portland,Women's Street Footwear,47.0,114.0,536.0,220.0,Outlet,2021,4,2,41.04477611940299
Sports Direct,1185732,2021-12-16,South,Mississippi,Jackson,Women's Apparel,53.0,178.0,943.0,519.0,Outlet,2021,12,4,55.037115588547195
Sports Direct,1185732,2021-08-09,Midwest,North Dakota,Fargo,Women's Street Footwear,40.0,225.0,9000.0,2700.0,In-store,2021,8,3,30.0
Foot Locker,1128299,2021-03-23,Southeast,Virginia,Richmond,Men's Athletic Footwear,35.0,98.0,343.0,141.0,Outlet,2021,3,1,41.10787172011662
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Men's Athletic Footwear,50.0,300.0,15000.0,4500.0,In-store,2021,12,4,30.0
Kohl's,1128299,2021-07-25,West,New Mexico,Albuquerque,Women's Apparel,49.0,160.0,784.0,251.0,Outlet,2021,7,3,32.015306122448976
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Women's Apparel,48.0,108.0,518.0,327.0,Online,2021,11,4,63.12741312741312
