Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Apparel,$38.00 ,156,593,$237 ,Online
Foot Locker,1128299,2021-09-24,West,Arizona,Phoenix,Women's Apparel,$60.00 ,425,"25,500","$6,375 ",Online
Amazon,1185732,2021-06-11,Midwest,Ohio,Columbus,Women's Apparel,$70.00 ,675,"47,250","$23,625 ",Online
Kohl's,1189833,2021-05-05,West,California,Los Angeles,Men's Apparel,$60.00 ,675,"40,500","$22,275 ",Outlet
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Women's Street Footwear,$50.00 ,170,"8,500","$2,975 ",In-store
Sports Direct,1185732,2021-01-17,Northeast,Rhode Island,Providence,Men's Street Footwear,$40.00 ,450,"18,000","$5,400 ",In-store
Sports Direct,1197831,2021-10-21,South,Texas,Dallas,Women's Apparel,$70.00 ,775,"54,250","$29,838 ",Outlet
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,$42.00 ,72,302,$145 ,Online
West Gear,1197831,2021-05-19,South,Oklahoma,Oklahoma City,Men's Street Footwear,$28.00 ,179,501,$216 ,Outlet
Sports Direct,1185732,2021-06-05,Northeast,Connecticut,Hartford,Men's Street Footwear,$40.00 ,206,824,$387 ,Outlet
Foot Locker,1128299,2021-10-24,Southeast,Virginia,Richmond,Women's Street Footwear,$39.00 ,119,464,$195 ,Outlet
Kohl's,1128299,2021-01-26,West,Arizona,Phoenix,Men's Apparel,$50.00 ,275,"13,750","$4,125 ",Online
Sports Direct,1197831,2021-10-11,South,Alabama,Birmingham,Women's Apparel,$70.00 ,750,"52,500","$34,125 ",Outlet
Amazon,1185732,2021-02-12,Northeast,Vermont,Burlington,Women's Athletic Footwear,$36.00 ,45,162,$75 ,Online
Foot Locker,1185732,2021-04-06,Midwest,Iowa,Des Moines,Men's Apparel,$60.00 ,125,"7,500","$3,750 ",In-store
Sports Direct,1197831,2021-10-15,South,Texas,Dallas,Women's Apparel,$67.00 ,176,"1,179",$766 ,Online
West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Men's Street Footwear,$29.00 ,117,339,$153 ,Online
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Men's Street Footwear,$36.00 ,131,472,$236 ,Online
Foot Locker,1185732,2021-09-06,Northeast,Rhode Island,Providence,Women's Street Footwear,$36.00 ,38,137,$70 ,Online
Foot Locker,1185732,2021-06-09,Midwest,Nebraska,Omaha,Men's Athletic Footwear,$35.00 ,75,"2,625",$919 ,Outlet
Sports Direct,1197831,2021-04-15,South,Tennessee,Knoxville,Men's Street Footwear,$29.00 ,272,789,$394 ,Outlet
Sports Direct,1185732,2021-10-17,Midwest,Michigan,Detroit,Women's Apparel,$52.00 ,137,712,$499 ,Online
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Women's Apparel,$53.00 ,81,429,$185 ,Online
Sports Direct,1197831,2021-08-12,Midwest,Illinois,Chicago,Men's Athletic Footwear,$30.00 ,725,"21,750","$6,525 ",Outlet
Amazon,1185732,2021-03-20,West,Alaska,Anchorage,Women's Apparel,$53.00 ,72,382,$153 ,Online
Kohl's,1197831,2021-12-19,South,Oklahoma,Oklahoma City,Women's Street Footwear,$60.00 ,375,"22,500","$9,000 ",Online
Foot Locker,1128299,2021-10-23,West,Arizona,Phoenix,Women's Athletic Footwear,$45.00 ,300,"13,500","$4,725 ",Online
West Gear,1185732,2021-03-02,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$10.00 ,225,"2,250",$675 ,In-store
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Men's Street Footwear,$47.00 ,100,470,$207 ,Online
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Women's Athletic Footwear,$40.00 ,78,312,$125 ,Outlet
Kohl's,1185732,2021-07-10,West,Wyoming,Cheyenne,Women's Athletic Footwear,$39.00 ,150,585,$275 ,Online
Sports Direct,1197831,2021-09-10,South,Texas,Dallas,Men's Street Footwear,$45.00 ,800,"36,000","$12,600 ",Outlet
Foot Locker,1128299,2021-01-10,West,Alaska,Anchorage,Men's Street Footwear,$33.00 ,109,360,$137 ,Online
West Gear,1185732,2021-07-16,Northeast,West Virginia,Charleston,Women's Athletic Footwear,$50.00 ,275,"13,750","$5,500 ",In-store
Foot Locker,1185732,2021-10-07,Southeast,South Carolina,Charleston,Men's Athletic Footwear,$45.00 ,800,"36,000","$12,600 ",Online
Foot Locker,1185732,2021-12-28,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$47.00 ,85,400,$164 ,Outlet
Sports Direct,1185732,2021-10-05,Northeast,Connecticut,Hartford,Men's Street Footwear,$59.00 ,113,667,$367 ,Online
Foot Locker,1128299,2021-07-22,West,Arizona,Phoenix,Men's Apparel,$52.00 ,128,666,$286 ,Online
Amazon,1185732,2021-11-02,Northeast,Maine,Portland,Women's Athletic Footwear,$33.00 ,21,69,$28 ,Online
Sports Direct,1197831,2021-04-24,South,Tennessee,Knoxville,Women's Athletic Footwear,$42.00 ,133,559,$385 ,Online
Amazon,1185732,2021-10-15,Northeast,Massachusetts,Boston,Women's Apparel,$51.00 ,68,347,$121 ,Outlet
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Apparel,$53.00 ,176,933,$448 ,Online
Foot Locker,1185732,2021-06-12,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,$35.00 ,175,"6,125","$1,838 ",Online
Foot Locker,1128299,2021-02-10,West,Hawaii,Honolulu,Women's Apparel,$44.00 ,102,449,$247 ,Online
Foot Locker,1185732,2021-05-13,Northeast,Delaware,Wilmington,Women's Apparel,$60.00 ,400,"24,000","$9,600 ",In-store
Sports Direct,1185732,2021-09-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,$44.00 ,63,277,$125 ,Online
West Gear,1197831,2021-07-19,South,Oklahoma,Oklahoma City,Women's Street Footwear,$45.00 ,375,"16,875","$6,750 ",Online
Amazon,1185732,2021-10-12,South,Alabama,Birmingham,Men's Street Footwear,$40.00 ,450,"18,000","$6,300 ",Outlet
West Gear,1128299,2021-05-25,West,Oregon,Portland,Women's Street Footwear,$50.00 ,95,475,$238 ,Online
Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Apparel,$46.00 ,98,451,$216 ,Online
Foot Locker,1128299,2021-09-25,Southeast,Virginia,Richmond,Men's Apparel,$39.00 ,74,289,$136 ,Outlet
Kohl's,1185732,2021-04-11,West,Wyoming,Cheyenne,Women's Apparel,$36.00 ,149,536,$188 ,Online
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,$59.00 ,245,"1,446",$491 ,Online
West Gear,1185732,2021-08-17,Northeast,West Virginia,Charleston,Men's Athletic Footwear,$42.00 ,90,378,$208 ,Online
Foot Locker,1185732,2021-12-08,Northeast,Pennsylvania,Philadelphia,Women's Apparel,$70.00 ,350,"24,500","$7,350 ",Outlet
West Gear,1185732,2021-12-10,West,Utah,Salt Lake City,Women's Athletic Footwear,$30.00 ,400,"12,000","$4,800 ",In-store
Sports Direct,1197831,2021-09-16,South,Alabama,Birmingham,Men's Apparel,$50.00 ,123,615,$363 ,Online
Sports Direct,1197831,2021-03-21,South,Tennessee,Knoxville,Women's Apparel,$28.00 ,143,400,$224 ,Outlet
Walmart,1197831,2021-05-19,South,Arkansas,Little Rock,Men's Street Footwear,$40.00 ,670,"26,800","$10,720 ",Online
Amazon,1185732,2021-10-22,West,Alaska,Anchorage,Women's Street Footwear,$65.00 ,175,"11,375","$2,844 ",Outlet
Sports Direct,1197831,2021-04-16,South,Tennessee,Knoxville,Men's Athletic Footwear,$30.00 ,264,792,$396 ,Outlet
Sports Direct,1185732,2021-01-09,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$25.00 ,74,185,$74 ,Online
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Men's Apparel,$95.00 ,650,"61,750","$27,788 ",Online
Foot Locker,1128299,2021-02-10,West,Hawaii,Honolulu,Women's Athletic Footwear,$41.00 ,56,230,$90 ,Online
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,575,"8,625","$3,881 ",Outlet
West Gear,1128299,2021-06-17,South,Louisiana,New Orleans,Women's Athletic Footwear,$59.00 ,184,"1,086",$510 ,Outlet
Foot Locker,1128299,2021-08-10,West,Hawaii,Honolulu,Women's Athletic Footwear,$67.00 ,142,951,$362 ,Online
West Gear,1128299,2021-05-18,South,Louisiana,New Orleans,Women's Apparel,$46.00 ,178,819,$328 ,Outlet
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Women's Apparel,$50.00 ,225,"11,250","$4,500 ",Online
Walmart,1128299,2021-05-18,Southeast,Florida,Orlando,Men's Apparel,$52.00 ,68,354,$113 ,Online
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Men's Street Footwear,$28.00 ,163,456,$246 ,Online
Sports Direct,1197831,2021-05-13,South,Tennessee,Knoxville,Men's Apparel,$51.00 ,113,576,$305 ,Online
Foot Locker,1185732,2021-07-11,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,$50.00 ,550,"27,500","$9,625 ",Online
Sports Direct,1197831,2021-08-25,South,Texas,Dallas,Women's Street Footwear,$28.00 ,145,406,$191 ,Online
Kohl's,1189833,2021-04-07,West,California,Los Angeles,Men's Street Footwear,$43.00 ,240,"1,032",$516 ,Online
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Women's Street Footwear,$14.00 ,60,84,$42 ,Online
West Gear,1197831,2021-04-05,West,Idaho,Boise,Men's Street Footwear,$20.00 ,650,"13,000","$4,550 ",Online
Kohl's,1189833,2021-04-16,West,California,Los Angeles,Women's Athletic Footwear,$45.00 ,550,"24,750","$8,663 ",Outlet
Sports Direct,1185732,2021-04-04,Northeast,Connecticut,Hartford,Women's Street Footwear,$29.00 ,56,162,$70 ,Online
Amazon,1185732,2021-10-11,Midwest,Ohio,Columbus,Women's Apparel,$40.00 ,525,"21,000","$10,500 ",Online
Sports Direct,1197831,2021-09-09,South,Alabama,Birmingham,Women's Athletic Footwear,$36.00 ,196,706,$473 ,Outlet
Foot Locker,1185732,2021-01-17,Northeast,Maryland,Baltimore,Men's Athletic Footwear,$38.00 ,81,308,$154 ,Online
West Gear,1128299,2021-07-23,West,Oregon,Portland,Men's Apparel,$90.00 ,600,"54,000","$21,600 ",In-store
Foot Locker,1185732,2021-04-18,Midwest,Missouri,St. Louis,Men's Apparel,$40.00 ,225,"9,000","$3,150 ",In-store
Amazon,1185732,2021-08-22,Southeast,Kentucky,Louisville,Men's Street Footwear,$46.00 ,167,768,$415 ,Online
West Gear,1185732,2021-01-12,Southeast,Florida,Orlando,Women's Apparel,$35.00 ,221,774,$425 ,Outlet
Foot Locker,1197831,2021-02-04,West,Idaho,Boise,Women's Athletic Footwear,$35.00 ,375,"13,125","$5,250 ",Online
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Men's Apparel,$38.00 ,42,160,$101 ,Online
Sports Direct,1185732,2021-02-09,Midwest,North Dakota,Fargo,Women's Apparel,$23.00 ,69,159,$81 ,Online
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Women's Street Footwear,$43.00 ,101,434,$174 ,Online
Foot Locker,1185732,2021-10-30,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,$25.00 ,54,135,$61 ,Outlet
Sports Direct,1197831,2021-08-26,South,Alabama,Birmingham,Men's Athletic Footwear,$20.00 ,725,"14,500","$6,525 ",Outlet
Foot Locker,1185732,2021-06-26,Midwest,Nebraska,Omaha,Men's Street Footwear,$45.00 ,550,"24,750","$9,900 ",Outlet
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Men's Apparel,$43.00 ,47,202,$69 ,Outlet
West Gear,1185732,2021-12-09,Midwest,Ohio,Columbus,Men's Apparel,$75.00 ,525,"39,375","$13,781 ",Online
Foot Locker,1185732,2021-11-16,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$60.00 ,175,"10,500","$3,150 ",Outlet
Sports Direct,1185732,2021-07-08,Midwest,North Dakota,Fargo,Men's Apparel,$49.00 ,60,294,$135 ,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Apparel,$65.00 ,123,800,$400 ,Online
Sports Direct,1185732,2021-11-07,Northeast,New Jersey,Newark,Men's Athletic Footwear,$46.00 ,80,368,$180 ,Online
West Gear,1197831,2021-05-05,West,Idaho,Boise,Men's Athletic Footwear,$30.00 ,725,"21,750","$7,613 ",Online
Kohl's,1189833,2021-03-12,West,California,Los Angeles,Women's Apparel,$29.00 ,210,609,$140 ,Outlet
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Women's Street Footwear,$29.00 ,217,629,$233 ,Online
Foot Locker,1128299,2021-10-24,Southeast,Virginia,Richmond,Men's Street Footwear,$38.00 ,102,388,$174 ,Online
Foot Locker,1185732,2021-09-07,Midwest,Iowa,Des Moines,Men's Street Footwear,$35.00 ,475,"16,625","$4,988 ",In-store
Amazon,1185732,2021-01-22,Midwest,Ohio,Columbus,Women's Street Footwear,$28.00 ,75,210,$109 ,Online
Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Women's Street Footwear,$25.00 ,175,"4,375","$1,750 ",In-store
Foot Locker,1128299,2021-06-24,Southeast,Virginia,Richmond,Men's Street Footwear,$37.00 ,233,862,$319 ,Outlet
Sports Direct,1185732,2021-05-13,Northeast,Massachusetts,Boston,Men's Athletic Footwear,$50.00 ,200,"10,000","$3,000 ",In-store
Foot Locker,1128299,2021-10-24,Southeast,Virginia,Richmond,Men's Apparel,$55.00 ,300,"16,500","$6,600 ",In-store
Foot Locker,1128299,2021-07-23,Southeast,Virginia,Richmond,Men's Street Footwear,$60.00 ,272,"1,632",$604 ,Outlet
West Gear,1185732,2021-11-10,Midwest,Indiana,Indianapolis,Women's Street Footwear,$32.00 ,81,259,$124 ,Online
West Gear,1185732,2021-05-12,West,Utah,Salt Lake City,Men's Athletic Footwear,$29.00 ,101,293,$144 ,Online
Foot Locker,1128299,2021-10-24,Southeast,Virginia,Richmond,Men's Athletic Footwear,$51.00 ,142,724,$355 ,Online
Foot Locker,1185732,2021-02-18,Midwest,Missouri,St. Louis,Women's Apparel,$28.00 ,120,336,$212 ,Online
Foot Locker,1185732,2021-01-10,Northeast,Connecticut,Hartford,Men's Apparel,$34.00 ,44,150,$54 ,Outlet
Walmart,1128299,2021-04-17,Southeast,Florida,Orlando,Women's Athletic Footwear,$41.00 ,90,369,$129 ,Outlet
West Gear,1185732,2021-03-09,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,$19.00 ,31,59,$27 ,Online
Foot Locker,1185732,2021-06-22,Northeast,Maryland,Baltimore,Women's Apparel,$53.00 ,84,445,$200 ,Online
Amazon,1185732,2021-11-11,Northeast,Vermont,Burlington,Men's Apparel,$70.00 ,275,"19,250","$6,738 ",In-store
Foot Locker,1185732,2021-10-19,Northeast,New Hampshire,Manchester,Men's Street Footwear,$64.00 ,119,762,$404 ,Online
Walmart,1197831,2021-04-20,South,Arkansas,Little Rock,Women's Street Footwear,$14.00 ,75,105,$55 ,Online
Kohl's,1185732,2021-10-12,West,Wyoming,Cheyenne,Men's Street Footwear,$50.00 ,202,"1,010",$646 ,Online
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Men's Street Footwear,$41.00 ,246,"1,009",$555 ,Online
Sports Direct,1197831,2021-09-16,South,Texas,Dallas,Men's Street Footwear,$34.00 ,256,870,$366 ,Outlet
Foot Locker,1185732,2021-11-09,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,$50.00 ,450,"22,500","$11,250 ",Outlet
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Men's Street Footwear,$20.00 ,645,"12,900","$5,160 ",Online
Sports Direct,1197831,2021-09-19,South,Alabama,Birmingham,Men's Athletic Footwear,$55.00 ,575,"31,625","$15,813 ",Outlet
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Women's Street Footwear,$24.00 ,33,79,$39 ,Online
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,$65.00 ,825,"53,625","$18,769 ",Outlet
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,$46.00 ,225,"1,035",$455 ,Outlet
West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,$55.00 ,925,"50,875","$15,263 ",Outlet
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Athletic Footwear,$14.00 ,94,132,$66 ,Online
West Gear,1128299,2021-06-17,South,Louisiana,New Orleans,Women's Street Footwear,$55.00 ,210,"1,155",$508 ,Outlet
Sports Direct,1197831,2021-03-11,Midwest,Montana,Billings,Men's Athletic Footwear,$29.00 ,182,528,$243 ,Online
Foot Locker,1185732,2021-03-13,Northeast,Delaware,Wilmington,Men's Street Footwear,$36.00 ,158,569,$262 ,Online
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Women's Street Footwear,$30.00 ,775,"23,250","$5,813 ",Online
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Women's Athletic Footwear,$15.00 ,100,"1,500",$450 ,In-store
Amazon,1185732,2021-12-26,Northeast,Maine,Portland,Women's Apparel,$54.00 ,91,491,$265 ,Online
Foot Locker,1185732,2021-03-11,Midwest,South Dakota,Sioux Falls,Women's Apparel,$40.00 ,225,"9,000","$3,600 ",Online
Amazon,1185732,2021-06-22,West,Alaska,Anchorage,Women's Street Footwear,$55.00 ,325,"17,875","$4,469 ",Outlet
Sports Direct,1128299,2021-10-13,Southeast,Georgia,Atlanta,Women's Apparel,$46.00 ,109,501,$155 ,Outlet
Amazon,1185732,2021-08-11,Northeast,Vermont,Burlington,Men's Apparel,$60.00 ,225,"13,500","$4,725 ",In-store
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,$58.00 ,200,"1,160",$522 ,Online
Amazon,1185732,2021-09-20,West,Alaska,Anchorage,Women's Street Footwear,$50.00 ,59,295,$112 ,Online
Amazon,1185732,2021-04-18,Northeast,New Hampshire,Manchester,Men's Apparel,$40.00 ,61,244,$81 ,Outlet
Foot Locker,1185732,2021-08-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$36.00 ,65,234,$94 ,Online
Sports Direct,1197831,2021-09-30,South,Alabama,Birmingham,Men's Street Footwear,$18.00 ,169,304,$195 ,Online
West Gear,1128299,2021-02-17,South,Louisiana,New Orleans,Women's Apparel,$44.00 ,105,462,$222 ,Online
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Women's Street Footwear,$40.00 ,300,"12,000","$3,600 ",In-store
Kohl's,1185732,2021-03-10,West,Wyoming,Cheyenne,Men's Apparel,$50.00 ,450,"22,500","$6,750 ",In-store
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Athletic Footwear,$55.00 ,225,"12,375","$4,331 ",Outlet
Foot Locker,1185732,2021-12-16,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$47.00 ,63,296,$124 ,Online
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Men's Athletic Footwear,$50.00 ,188,940,$489 ,Online
West Gear,1197831,2021-06-21,South,Oklahoma,Oklahoma City,Men's Apparel,$51.00 ,87,444,$209 ,Online
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Women's Street Footwear,$44.00 ,61,268,$107 ,Online
Foot Locker,1185732,2021-05-21,South,Tennessee,Knoxville,Men's Street Footwear,$35.00 ,425,"14,875","$5,950 ",Outlet
Foot Locker,1185732,2021-03-13,Northeast,Delaware,Wilmington,Women's Athletic Footwear,$35.00 ,125,"4,375","$1,750 ",In-store
Kohl's,1189833,2021-01-04,Midwest,Montana,Billings,Men's Athletic Footwear,$45.00 ,425,"19,125","$5,738 ",Outlet
West Gear,1128299,2021-04-24,West,Oregon,Portland,Women's Street Footwear,$47.00 ,114,536,$220 ,Outlet
Sports Direct,1185732,2021-12-16,South,Mississippi,Jackson,Women's Apparel,$53.00 ,178,943,$519 ,Outlet
Sports Direct,1185732,2021-08-09,Midwest,North Dakota,Fargo,Women's Street Footwear,$40.00 ,225,"9,000","$2,700 ",In-store
Foot Locker,1128299,2021-03-23,Southeast,Virginia,Richmond,Men's Athletic Footwear,$35.00 ,98,343,$141 ,Outlet
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$50.00 ,300,"15,000","$4,500 ",In-store
Kohl's,1128299,2021-07-25,West,New Mexico,Albuquerque,Women's Apparel,$49.00 ,160,784,$251 ,Outlet
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Women's Apparel,$48.00 ,108,518,$327 ,Online
Amazon,1185732,2021-10-12,Northeast,Vermont,Burlington,Men's Apparel,$55.00 ,58,319,$118 ,Outlet
Foot Locker,1128299,2021-04-10,West,Hawaii,Honolulu,Women's Apparel,$66.00 ,94,620,$310 ,Online
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Men's Street Footwear,$50.00 ,470,"23,500","$9,400 ",In-store
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,425,"6,375","$2,550 ",Online
Kohl's,1197831,2021-09-12,Midwest,Kansas,Wichita,Women's Street Footwear,$15.00 ,250,"3,750","$1,313 ",Online
Foot Locker,1185732,2021-02-06,Midwest,Iowa,Des Moines,Men's Apparel,$40.00 ,150,"6,000","$3,000 ",In-store
Kohl's,1189833,2021-02-18,Midwest,Montana,Billings,Men's Apparel,$50.00 ,100,500,$365 ,Online
Amazon,1185732,2021-10-13,South,Alabama,Birmingham,Men's Athletic Footwear,$40.00 ,250,"10,000","$3,500 ",Outlet
West Gear,1128299,2021-01-28,West,California,San Francisco,Men's Apparel,$65.00 ,725,"47,125","$21,206 ",Outlet
Amazon,1185732,2021-07-09,Midwest,Ohio,Columbus,Men's Apparel,$59.00 ,154,909,$418 ,Online
Foot Locker,1185732,2021-05-24,South,Tennessee,Knoxville,Women's Athletic Footwear,$22.00 ,23,51,$22 ,Outlet
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Apparel,$30.00 ,475,"14,250","$7,125 ",Online
Sports Direct,1197831,2021-08-31,South,Alabama,Birmingham,Men's Street Footwear,$43.00 ,203,873,$480 ,Online
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Men's Street Footwear,$50.00 ,675,"33,750","$13,500 ",Online
Kohl's,1128299,2021-09-27,West,New Mexico,Albuquerque,Women's Street Footwear,$50.00 ,475,"23,750","$8,313 ",Online
Sports Direct,1197831,2021-08-22,South,Alabama,Birmingham,Women's Athletic Footwear,$18.00 ,113,203,$134 ,Online
Kohl's,1185732,2021-07-10,West,Wyoming,Cheyenne,Men's Street Footwear,$50.00 ,875,"43,750","$21,875 ",In-store
West Gear,1185732,2021-07-10,West,Utah,Salt Lake City,Men's Athletic Footwear,$30.00 ,550,"16,500","$5,775 ",In-store
West Gear,1128299,2021-09-18,South,Louisiana,New Orleans,Women's Apparel,$40.00 ,300,"12,000","$4,200 ",Online
Sports Direct,1197831,2021-09-15,South,Alabama,Birmingham,Women's Athletic Footwear,$50.00 ,425,"21,250","$12,750 ",Outlet
Foot Locker,1185732,2021-06-15,Northeast,Delaware,Wilmington,Women's Apparel,$60.00 ,450,"27,000","$10,800 ",In-store
Kohl's,1128299,2021-03-25,West,New Mexico,Albuquerque,Men's Street Footwear,$30.00 ,187,561,$230 ,Outlet
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Women's Apparel,$70.00 ,575,"40,250","$10,063 ",Online
Foot Locker,1185732,2021-05-13,Northeast,Delaware,Wilmington,Men's Apparel,$50.00 ,74,370,$155 ,Online
Foot Locker,1197831,2021-02-04,West,Idaho,Boise,Men's Apparel,$39.00 ,70,273,$96 ,Online
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00 ,91,228,$114 ,Online
Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Men's Athletic Footwear,$28.00 ,94,263,$129 ,Online
Foot Locker,1185732,2021-09-06,Northeast,Rhode Island,Providence,Men's Apparel,$50.00 ,100,"5,000","$1,500 ",In-store
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Men's Athletic Footwear,$27.00 ,153,413,$186 ,Outlet
Foot Locker,1185732,2021-10-06,Midwest,Iowa,Des Moines,Women's Street Footwear,$34.00 ,39,133,$54 ,Online
Foot Locker,1185732,2021-07-21,Midwest,Illinois,Chicago,Women's Athletic Footwear,$36.00 ,44,158,$84 ,Online
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Women's Athletic Footwear,$40.00 ,143,572,$246 ,Outlet
Foot Locker,1185732,2021-07-16,Midwest,Illinois,Chicago,Men's Apparel,$50.00 ,200,"10,000","$3,500 ",Outlet
Sports Direct,1197831,2021-04-12,South,Tennessee,Knoxville,Women's Athletic Footwear,$40.00 ,600,"24,000","$12,000 ",Outlet
Foot Locker,1185732,2021-12-09,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,$62.00 ,143,887,$532 ,Online
Walmart,1128299,2021-11-10,West,Hawaii,Honolulu,Women's Apparel,$82.00 ,140,"1,148",$597 ,Online
